ID,proper,dist,absmag,ci,rarad,decrad,H_1,H_2,b,l,cos(l-33deg),sin(l/33deg),rad
37498,,24.6731,3.079,0.765,2.020008851,-0.7884196403,,,-0.1809814604,2.917825028,-0.6968733858,-0.7054806069,-2.350056872
37528,,30.1568,4.293,0.55,2.021782593,-0.9104353554,,,-0.2372864261,2.807140612,-0.6133887979,-0.7676509746,-2.244955575
37620,,29.9491,5.168,0.7,2.025782812,-0.8808085931,,,-0.2213282866,2.832901761,-0.6335286942,-0.7548456443,-2.269035295
37659,,5.9566,12.315,1.6,2.027503512,0.06200201183,,,0.2442544726,3.660417607,-0.9983659522,-0.05544774967,-3.086111149
37691,,27.6625,7.981,1.349,2.029031044,0.03730438883,,,0.2342033528,3.637143242,-0.9967656911,-0.07816872112,-3.063330467
37718,Pollux,10.3584,1.084,0.991,2.030326887,0.4891494417,,,0.4190500694,3.36151515,-0.9372714146,0.3184381285,2.8140781
37745,,15.2091,4.449,0.589,2.031494094,-0.5964202519,,,-0.07866441423,3.081987672,-0.8047126874,-0.5918285821,-2.507466636
37815,,29.8507,5.895,0.787,2.034544419,-1.043872896,,,-0.2910020356,2.680365646,-0.5086097486,-0.8247981438,-2.123366822
37870,,28.9268,9.193,1.38,2.037896324,-0.2432754692,,,0.105572741,3.383776303,-0.9447987954,-0.3258268498,-2.809500871
37910,,26.7023,4.927,0.712,2.039903524,1.225337475,,,0.533619662,2.537178729,-0.3805420748,0.7961951678,2.016649453
37941,,28.5959,3.198,0.478,2.04179677,-0.21280284,,,0.1241539314,3.408387888,-0.9525758618,-0.301958943,-2.834620664
37974,,14.7732,10.613,1.51,2.043222754,0.3554909502,,,0.3823536559,3.501705354,-0.9767867065,0.1987456023,2.940863961
38009,,26.6667,6.73,1.068,2.044915932,0.9363442221,,,0.530442142,2.872923218,-0.6639784987,0.6449982253,2.370693559
38120,,22.0022,5.188,0.682,2.050402751,0.4775776087,,,0.4319703478,3.379983267,-0.9435492097,0.3008062357,2.832975979
38217,,29.6033,3.673,0.496,2.055541674,0.9447334652,,,0.5374798537,2.863919726,-0.6572193015,0.6474290337,2.363698492
38273,,16.5044,4.072,0.6,2.058492499,-0.2425663591,,,0.1231822586,3.374223477,-0.9416257401,-0.3341104994,-2.800627625
38313,,17.9437,3.74,0.47,2.060629339,-0.6057242372,,,-0.06275082104,3.061671518,-0.7924864733,-0.6086891133,-2.486623496
38428,,29.1545,5.946,0.621,2.066255552,0.5341592422,,,0.4630535754,3.325326706,-0.924045199,0.3420260152,2.787089669
38481,,19.4099,8.31,1.385,2.069007961,-0.4416237107,,,0.028881156,3.198065603,-0.8680540816,-0.4962626046,-2.622245346
38512,,20.0884,5.915,0.739,2.070700728,-0.02464855408,,,0.2417104703,3.56070801,-0.9877188249,-0.1516999175,-2.989197341
38544,,20.6911,6.181,0.95,2.072146799,0.3357374667,,,0.4000129756,3.532660834,-0.9829487899,0.1693633206,2.970966723
38671,,17.191,5.373,0.719,2.078293999,1.400897989,,,0.5197884194,2.33435361,-0.1864595759,0.8527031842,1.786076526
38795,,16.2048,4.542,0.573,2.084694483,-1.05248715,,,-0.2726662281,2.660489639,-0.4913972278,-0.8387599903,-2.100755037
38798,,18.5014,7.494,1.136,2.084830617,-0.5925774292,,,-0.03884111651,3.062431273,-0.7929496113,-0.6088276805,-2.486795765
38820,,17.8126,6.796,1.065,2.085507456,-0.01421426574,,,0.259705244,3.56282783,-0.98804781,-0.1489785036,-2.991939309
38829,,18.5117,7.083,1.043,2.08598461,-0.4472690529,,,0.03895083338,3.185197472,-0.8615937524,-0.5072134618,-2.609529256
38846,,8.6162,12.343,1.618,2.086588935,0.7208856592,,,0.5259510059,3.12457921,-0.8292603461,0.4833304852,2.61388242
38870,,30.003,5.564,0.739,2.088355651,-0.6099014643,,,-0.04554156992,3.046178691,-0.7829428319,-0.6214486498,-2.4706839
38882,,30.2572,5.716,0.789,2.089332191,0.1767976206,,,0.3504461363,3.695993737,-0.9997667525,0.02028454943,3.121306155
38954,,23.7248,5.804,0.833,2.092498991,0.3637944596,,,0.428242956,3.512055304,-0.9789514564,0.1856629586,2.954163786
39046,,16.7673,5.848,0.716,2.096732643,0.5098517895,,,0.4808957223,3.36030195,-0.936847803,0.3100704436,2.821968752
39181,,30.021,8.953,1.478,2.10336941,-0.2997048719,,,0.1306644735,3.302387558,-0.9150336089,-0.3999390301,-2.729538332
39231,,17.313,5.988,0.872,2.105399576,-1.152282763,,,-0.311276639,2.563899012,-0.4051132391,-0.8703299254,-2.006441098
39383,,25.7136,7.779,1.27,2.113499307,0.7672760415,,,0.5536270616,3.075421818,-0.8007974561,0.5094681594,2.574979188
39395,,29.4031,4.918,0.632,2.114018585,0.1617558281,,,0.3658359775,3.713442727,-0.9999913891,-0.00387529421,-3.137717345
39501,,29.2654,7.828,1.311,2.119274214,0.5947656469,,,0.5228714371,3.273291527,-0.9029112804,0.3723972873,2.750407822
39573,,30.0571,9.09,1.492,2.123223435,0.9755339171,,,0.5778591687,2.830101307,-0.631359448,0.6495770328,2.341973366
39598,,25.0063,4.81,0.6,2.124974217,-0.5131780554,,,0.03266344178,3.110991866,-0.8215905768,-0.5697739171,-2.535241739
39644,,19.4818,1.382,0.458,2.127312994,-0.4241904755,,,0.08294910092,3.184569834,-0.8612749947,-0.5063920008,-2.610075935
39667,,23.2883,3.464,0.642,2.128273008,0.376673746,,,0.4639929769,3.512090131,-0.9789585639,0.1824845097,2.957301008
39713,,16.6417,8.304,1.34,2.130261432,0.3683529612,,,0.4627557777,3.521518516,-0.9808389717,0.1743301198,2.965693799
39783,,21.2721,8.261,1.4,2.13340353,0.5728130391,,,0.5287015,3.301301066,-0.9145948021,0.3491597793,2.776904738
39790,,19.98,3.237,0.437,2.133720851,-1.06992923,,,-0.2603321431,2.632600822,-0.4669199253,-0.8545027162,-2.070889122
39837,,22.2916,10.099,1.53,2.13591714,0.3823107769,,,0.4726261013,3.508988716,-0.9783209846,0.1843917759,2.95530029
39874,,16.4799,10.655,1.523,2.137901012,-0.9244690042,,,-0.1829566385,2.758924532,-0.5746105405,-0.8047674921,-2.19086199
39902,,28.3447,4.278,0.567,2.139503913,1.216932175,,,0.5684431823,2.542584722,-0.3855357554,0.7775902701,2.031085003
39922,,22.3814,3.781,0.488,2.140924877,-0.2408416001,,,0.1924912442,3.333650208,-0.9271950886,-0.3676605771,-2.764081316
40005,,21.7865,5.089,0.679,2.145205541,0.5664837786,,,0.5366856626,3.311359874,-0.9186159605,0.3395963653,2.787491916
40054,,25.0815,2.673,0.531,2.147680389,0.3080117029,,,0.4557032046,3.590842387,-0.9919779336,0.1135111179,3.027659136
40057,,25.5232,8.165,1.319,2.147807763,0.905949546,,,0.5903132403,2.913987913,-0.6941163056,0.5980378604,2.430413163
40125,,20.6398,7.806,1.393,2.151736401,-0.2428981552,,,0.2002854671,3.326181136,-0.9243714959,-0.3738674384,-2.757250958
40168,,27.4952,4.504,0.618,2.153629555,-0.5538868903,,,0.03069809373,3.063408477,-0.7935446303,-0.6082253538,-2.487636026
40260,,18.8359,7.415,1.186,2.158093766,0.2272911752,,,0.4328359127,3.677305134,-0.9991885676,0.03656230793,3.105016973
40323,,26.6738,4.5,0.579,2.161678737,-0.9086236338,,,-0.1622243071,2.764539985,-0.5791972947,-0.8044843697,-2.194793632
40344,,30.6373,7.669,1.251,2.162759921,-0.4539580861,,,0.09329026518,3.141878112,-0.8388034955,-0.5420668817,-2.567866462
40386,,9.1224,10.279,1.51,2.164788739,0.02273418894,,,0.3469842485,3.556874222,-0.9871125693,-0.1504901923,-2.990302651
40556,,22.6912,7.041,1.137,2.173720825,0.5340849843,,,0.5517556332,3.355302701,-0.9350876793,0.3018230345,2.8293744
40578,,12.4938,5.467,0.754,2.174676114,-0.2204730178,,,0.2311479876,3.333336661,-0.9270775951,-0.364899473,-2.766614047
40587,,19.5618,2.593,0.413,2.175213364,-1.342502417,,,-0.3804476626,2.37411538,-0.22536636,-0.9046120272,-1.81495638
40591,,28.6287,2.156,0.222,2.175358615,-0.6398252806,,,-0.003081583252,2.982360702,-0.7416751898,-0.6707560215,-2.406363064
