,ID,proper,dist,absmag,ci,rarad,decrad,S_NAME,H_1,H_2
1927,92808,,10.9075,9.031,1.444,4.96547175334981,0.10311614762987248,,,
1928,92881,,30.1841,2.431,0.396,4.9686176197966905,-0.6476455554212125,,,
1929,92892,,23.8436,4.913,0.606,4.969170404192335,0.5267516277102126,,,
1930,92913,,14.0944,10.385,1.446,4.97036430871076,-0.8425483788892476,,,
1931,92955,,25.974,8.787,1.365,4.972632343588362,0.13940390652121876,,,
1932,93156,,24.432,9.63,,4.98245361240767,-0.6449361077600675,,,
1933,93213,,27.0416,0.44,0.062,4.985585011861122,-0.521506218738425,,,
1934,93216,,27.1665,4.71,0.629,4.98568266167659,0.2542422651881237,,,
1935,93246,,26.4131,6.311,0.9390000000000001,4.987705531446943,-0.19275287043200875,,,
1936,93452,,25.4582,0.961,0.013999999999999999,4.997794545354774,0.2419633388357175,,,
